id,name,age,gender,x,y,tags,style_tone,style_detail,style_ref
23,유저23,23,male,3,5,#상처받기쉬운 #사랑많은 #마이웨이 #혼자생각많음,중성적,"베이직 셔츠와 청바지를 즐겨입음, 온화한 인상",금새록
24,유저24,22,female,3,6,#신중함 #외로움을잘느낌 #창의적인 #고독을즐김,도회적,"컬러렌즈와 진한 화장, 또렷한 눈썹",금새록
25,유저25,31,male,3,7,#상처받기쉬운 #차분함 #창의적인 #낭만주의자,개성적,"자연 갈색머리와 부드러운 인상, 말수가 적은 편",김태리
26,유저26,34,female,3,8,#신중함 #명랑한성격 #사랑많은 #상처받기쉬운,개성적,"항상 웃는 표정, 귀여운 말투와 말버릇",이도현
27,유저27,34,male,3,9,#마이웨이 #명랑한성격 #현실주의자 #감성적,중성적,"항상 웃는 표정, 귀여운 말투와 말버릇",설현
28,유저28,22,female,4,1,#신중함 #혼자생각많음 #감성적 #현실주의자,시크함,"자연 갈색머리와 부드러운 인상, 말수가 적은 편",송강
29,유저29,21,female,4,2,#무심한듯다정한 #내향적 #열정적인 #창의적인,청량함,"섬세하고 반듯한 눈매, 부드러운 음성",박보영
30,유저30,25,female,4,3,#창의적인 #감성적 #이성적 #무심한듯다정한,중성적,"베이직 셔츠와 청바지를 즐겨입음, 온화한 인상",공유
31,유저31,35,female,4,4,#차분함 #상처받기쉬운 #현실주의자 #신중함,따뜻함,"편안한 차림과 내추럴 메이크업, 고요한 분위기",고윤정
32,유저32,23,female,4,5,#상처받기쉬운 #이성적 #내향적 #무심한듯다정한,시크함,"자연 갈색머리와 부드러운 인상, 말수가 적은 편",고윤정
33,유저33,24,male,4,6,#낭만주의자 #예민함 #감성적 #마이웨이,시크함,"섬세하고 반듯한 눈매, 부드러운 음성",송강
34,유저34,35,female,4,7,#사랑많은 #감성적 #고독을즐김 #열정적인,귀여움,"짧은 단발머리와 동그란 인상, 부드러운 말투",송강
35,유저35,33,female,4,8,#상처받기쉬운 #마이웨이 #창의적인 #낭만주의자,개성적,"단정한 머리와 정직한 인상, 매너가 좋음",금새록
36,유저36,35,female,4,9,#상처받기쉬운 #고독을즐김 #엉뚱함 #무심한듯다정한,도회적,"단정한 머리와 정직한 인상, 매너가 좋음",이도현
37,유저37,34,female,5,1,#무심한듯다정한 #외로움을잘느낌 #차분함 #낭만주의자,도회적,"단정한 머리와 정직한 인상, 매너가 좋음",공유
38,유저38,22,male,5,2,#사랑많은 #마이웨이 #긍정적인 #예민함,개성적,"베이직 셔츠와 청바지를 즐겨입음, 온화한 인상",장기용
39,유저39,33,male,5,3,#명랑한성격 #고독을즐김 #열정적인 #신중함,중성적,"항상 웃는 표정, 귀여운 말투와 말버릇",이도현
40,유저40,35,male,5,4,#사랑많은 #낭만주의자 #상처받기쉬운 #열정적인,귀여움,화려한 액세서리와 당당한 걸음걸이,박보영
41,유저41,32,female,5,5,#낭만주의자 #내향적 #현실주의자 #엉뚱함,중성적,"단정한 머리와 정직한 인상, 매너가 좋음",송강
42,유저42,30,male,5,6,#명랑한성격 #외로움을잘느낌 #열정적인 #현실주의자,트렌디함,"자연 갈색머리와 부드러운 인상, 말수가 적은 편",고윤정
43,유저43,23,female,5,7,#이성적 #명랑한성격 #혼자생각많음 #고독을즐김,중성적,"긴 생머리에 맑은 눈동자, 은은한 미소와 말투",이민기
44,유저44,34,female,5,8,#차분함 #감성적 #마이웨이 #사랑많은,따뜻함,"단정한 머리와 정직한 인상, 매너가 좋음",변요한
45,유저45,24,female,5,9,#내향적 #이성적 #무심한듯다정한 #엉뚱함,귀여움,"편안한 차림과 내추럴 메이크업, 고요한 분위기",비비
46,유저46,31,male,6,1,#신중함 #긍정적인 #혼자생각많음 #차분함,중성적,"자연 갈색머리와 부드러운 인상, 말수가 적은 편",공유
47,유저47,29,male,6,2,#외로움을잘느낌 #창의적인 #낭만주의자 #차분함,우아함,"짧은 단발머리와 동그란 인상, 부드러운 말투",아이유
48,유저48,32,male,6,3,#엉뚱함 #창의적인 #마이웨이 #상처받기쉬운,트렌디함,"편안한 차림과 내추럴 메이크업, 고요한 분위기",류준열
49,유저49,33,female,6,4,#내향적 #상처받기쉬운 #이성적 #신중함,우아함,"항상 웃는 표정, 귀여운 말투와 말버릇",류준열
50,유저50,26,female,6,5,#혼자생각많음 #현실주의자 #사랑많은 #상처받기쉬운,우아함,"단정한 머리와 정직한 인상, 매너가 좋음",신세경
51,유저51,24,female,6,6,#외로움을잘느낌 #낭만주의자 #열정적인 #예민함,시크함,"항상 웃는 표정, 귀여운 말투와 말버릇",비비
52,유저52,20,female,6,7,#엉뚱함 #고독을즐김 #이성적 #열정적인,트렌디함,"단정한 머리와 정직한 인상, 매너가 좋음",박보영
53,유저53,20,female,6,8,#예민함 #열정적인 #혼자생각많음 #창의적인,트렌디함,"단정한 머리와 정직한 인상, 매너가 좋음",박보영
54,유저54,35,female,6,9,#고독을즐김 #긍정적인 #상처받기쉬운 #마이웨이,중성적,"항상 웃는 표정, 귀여운 말투와 말버릇",금새록
55,유저55,32,male,7,1,#사랑많은 #고독을즐김 #낭만주의자 #창의적인,중성적,"단정한 머리와 정직한 인상, 매너가 좋음",박보영
56,유저56,31,male,7,2,#낭만주의자 #고독을즐김 #창의적인 #내향적,중성적,"섬세하고 반듯한 눈매, 부드러운 음성",이도현
57,유저57,20,female,7,3,#엉뚱함 #외로움을잘느낌 #신중함 #내향적,우아함,"긴 생머리에 맑은 눈동자, 은은한 미소와 말투",금새록
58,유저58,20,female,7,4,#열정적인 #혼자생각많음 #이성적 #명랑한성격,시크함,"긴 생머리에 맑은 눈동자, 은은한 미소와 말투",이도현
59,유저59,26,female,7,5,#외로움을잘느낌 #엉뚱함 #무심한듯다정한 #낭만주의자,시크함,"베이직 셔츠와 청바지를 즐겨입음, 온화한 인상",공유
60,유저60,32,female,7,6,#사랑많은 #열정적인 #긍정적인 #차분함,귀여움,"항상 웃는 표정, 귀여운 말투와 말버릇",한지민
61,유저61,35,male,7,7,#예민함 #상처받기쉬운 #감성적 #고독을즐김,개성적,"짧은 단발머리와 동그란 인상, 부드러운 말투",장기용
62,유저62,22,male,7,8,#외로움을잘느낌 #상처받기쉬운 #마이웨이 #고독을즐김,순수함,"베이직 셔츠와 청바지를 즐겨입음, 온화한 인상",박보영
63,유저63,29,male,7,9,#고독을즐김 #열정적인 #현실주의자 #낭만주의자,우아함,"단정한 머리와 정직한 인상, 매너가 좋음",고윤정
64,유저64,22,male,8,1,#외로움을잘느낌 #현실주의자 #고독을즐김 #사랑많은,따뜻함,화려한 액세서리와 당당한 걸음걸이,고윤정
65,유저65,27,male,8,2,#마이웨이 #상처받기쉬운 #엉뚱함 #외로움을잘느낌,개성적,"단정한 머리와 정직한 인상, 매너가 좋음",박서준
66,유저66,32,male,8,3,#차분함 #상처받기쉬운 #예민함 #무심한듯다정한,청량함,"긴 생머리에 맑은 눈동자, 은은한 미소와 말투",이민기
67,유저67,29,male,8,4,#낭만주의자 #차분함 #혼자생각많음 #무심한듯다정한,시크함,"베이직 셔츠와 청바지를 즐겨입음, 온화한 인상",박보영
68,유저68,34,female,8,5,#상처받기쉬운 #열정적인 #혼자생각많음 #고독을즐김,트렌디함,"긴 생머리에 맑은 눈동자, 은은한 미소와 말투",신세경
69,유저69,28,male,8,6,#혼자생각많음 #이성적 #예민함 #낭만주의자,중성적,"짧은 단발머리와 동그란 인상, 부드러운 말투",강동원
70,유저70,30,male,8,7,#혼자생각많음 #예민함 #차분함 #엉뚱함,청량함,"항상 웃는 표정, 귀여운 말투와 말버릇",수지
71,유저71,26,male,8,8,#이성적 #명랑한성격 #열정적인 #예민함,시크함,"긴 생머리에 맑은 눈동자, 은은한 미소와 말투",고윤정
72,유저72,33,female,8,9,#내향적 #긍정적인 #낭만주의자 #이성적,귀여움,"긴 생머리에 맑은 눈동자, 은은한 미소와 말투",류준열
73,유저73,27,male,9,1,#마이웨이 #외로움을잘느낌 #감성적 #사랑많은,우아함,"단정한 머리와 정직한 인상, 매너가 좋음",공유
74,유저74,24,male,9,2,#마이웨이 #열정적인 #차분함 #현실주의자,개성적,"자연 갈색머리와 부드러운 인상, 말수가 적은 편",설현
75,유저75,23,female,9,3,#차분함 #고독을즐김 #혼자생각많음 #무심한듯다정한,우아함,화려한 액세서리와 당당한 걸음걸이,정해인
76,유저76,34,female,9,4,#이성적 #명랑한성격 #고독을즐김 #상처받기쉬운,개성적,화려한 액세서리와 당당한 걸음걸이,이민기
77,유저77,27,male,9,5,#사랑많은 #창의적인 #명랑한성격 #고독을즐김,트렌디함,"베이직 셔츠와 청바지를 즐겨입음, 온화한 인상",이도현
78,유저78,34,male,9,6,#열정적인 #사랑많은 #고독을즐김 #차분함,따뜻함,"섬세하고 반듯한 눈매, 부드러운 음성",금새록
79,유저79,32,female,9,7,#감성적 #긍정적인 #창의적인 #엉뚱함,청량함,"긴 생머리에 맑은 눈동자, 은은한 미소와 말투",아이유
80,유저80,21,male,9,8,#명랑한성격 #신중함 #무심한듯다정한 #차분함,순수함,"컬러렌즈와 진한 화장, 또렷한 눈썹",고윤정
81,유저81,26,male,9,9,#신중함 #사랑많은 #상처받기쉬운 #혼자생각많음,중성적,"짧은 단발머리와 동그란 인상, 부드러운 말투",수지
82,치우,29,male,2,3,#차분함 #현실주의자 #긍정적인 #마이웨이,도회적,화려한 액세서리와 당당한 걸음걸이,공유
83,하규,27,female,8,8,#외로움을잘느낌 #마이웨이 #사랑많은 #감성적,트렌디함,"컬러렌즈와 진한 화장, 또렷한 눈썹",장기용
84,경호,32,male,3,2,#명랑한성격 #신중함 #내향적 #엉뚱함,청량함,화려한 액세서리와 당당한 걸음걸이,박보영
85,진석,22,male,3,2,#현실주의자 #무심한듯다정한 #예민함 #창의적인,우아함,"짧은 단발머리와 동그란 인상, 부드러운 말투",수지
86,민성,32,female,7,3,#감성적 #상처받기쉬운 #긍정적인 #외로움을잘느낌,개성적,"베이직 셔츠와 청바지를 즐겨입음, 온화한 인상",고윤정
87,수빈,35,female,7,3,#창의적인 #사랑많은 #고독을즐김 #명랑한성격,시크함,"긴 생머리에 맑은 눈동자, 은은한 미소와 말투",비비
88,주현,31,female,2,2,#현실주의자 #명랑한성격 #내향적 #사랑많은,중성적,"편안한 차림과 내추럴 메이크업, 고요한 분위기",강동원
89,현정,31,female,6,4,#외로움을잘느낌 #무심한듯다정한 #이성적 #내향적,귀여움,"섬세하고 반듯한 눈매, 부드러운 음성",수지
90,우성,35,male,9,9,#현실주의자 #창의적인 #차분함 #상처받기쉬운,개성적,"항상 웃는 표정, 귀여운 말투와 말버릇",고윤정
